Location	Site	Lat	Lon	Year	Plot	Trt	Nfert	TotalCover	WeedCover	TargetCover	TotalBiomass	WeedBiomass	TargetBiomass	Amorpha_canescens	Andropogon_gerardii	Asclepias_tuberosa	Astragalus_canadensis	Baptisia_australis	Bouteloua_curtipendula	Chamaecrista_fasciculata	Desmodium_canadense	Echinacea_pallida	Elymus_canadensis	Elymus_trachycaulum	Elymus_virginicus	Galium_boreale	Glycerryza_lepidota	Helianthus_maximilianii	Lathyrus_ochroleucus	Lespedeza_capitata	Liatris_aspera	Lupinus_perennis	Monarda_fistulosa	Panicum_virgatum	Petalostemum_candidum	Petalostemum_purpurea	Ratibida_pinnata	Rudbeckia_hirta	Schizachyrium_scoparium	Silphium_perfoliatum	Solidago_rigida	Sorghastrum_nutans	Vicia_americana	Zizia_aurea
1	B	45.387048	-93.88178	2006	4101	2	0	75	60	15	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4102	12	0	95	50	45	NA	NA	NA	0	0	5	5	0	0	5	5	NA	0	0	0	NA	NA	5	NA	1	0	0	4	13	NA	1	1	NA	0	0	0	0	NA	0
1	B	45.387048	-93.88178	2006	4103	7	0	100	50	50	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4104	7	1	100	35	65	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4105	1	1	80	30	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4106	11	1	59	10	49	NA	NA	NA	1	0	10	5	0	NA	NA	NA	NA	0	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	2	NA	1	10	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4107	8	0	98	50	48	NA	NA	NA	0	0	NA	25	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	2	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4108	3	0	90	25	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	NA	NA
1	B	45.387048	-93.88178	2006	4109	4	0	76	75	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4110	8	1	98	40	58	NA	NA	NA	0	0	NA	30	2	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	1	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4111	6	1	99	85	14	NA	NA	NA	0	NA	NA	10	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4112	10	1	98	50	48	NA	NA	NA	2	NA	5	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4113	11	0	100	50	50	NA	NA	NA	1	0	4	10	1	NA	NA	NA	NA	0	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	8	NA	1	10	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4114	1	0	100	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4115	5	0	1	0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4116	9	1	98	50	48	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4117	4	1	86	85	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4118	3	1	100	75	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA
1	B	45.387048	-93.88178	2006	4119	10	0	100	75	25	NA	NA	NA	0	NA	5	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	0	5	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4120	6	0	100	35	65	NA	NA	NA	0	NA	NA	60	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4121	9	0	100	25	75	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	10	NA	NA	15	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4122	12	1	101	60	41	NA	NA	NA	2	0	4	5	1	0	1	5	NA	0	0	0	NA	NA	10	NA	0	0	0	2	5	NA	1	5	NA	0	0	0	0	NA	0
1	B	45.387048	-93.88178	2006	4123	5	1	100	80	20	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4124	2	1	100	70	30	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4201	7	1	100	60	40	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4202	8	1	98	50	48	NA	NA	NA	0	0	NA	25	2	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	1	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4203	4	1	65	60	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4204	8	0	97	20	77	NA	NA	NA	0	0	NA	10	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	NA	1	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4205	11	0	99	40	59	NA	NA	NA	1	0	5	10	1	NA	NA	NA	NA	0	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	15	NA	2	5	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4206	6	0	98	75	23	NA	NA	NA	0	NA	NA	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4207	10	1	96	40	56	NA	NA	NA	0	NA	10	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4208	2	1	95	40	55	NA	NA	NA	NA	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4209	11	1	98	35	63	NA	NA	NA	1	0	5	5	1	NA	NA	NA	NA	0	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	5	NA	1	15	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4210	10	0	97	35	62	NA	NA	NA	0	NA	5	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4211	2	0	95	60	35	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4212	5	0	95	75	20	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4213	3	1	100	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	NA	NA
1	B	45.387048	-93.88178	2006	4214	9	1	100	35	65	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	10	NA	NA	5	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4215	6	1	96	70	26	NA	NA	NA	0	NA	NA	25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4216	12	0	98	35	63	NA	NA	NA	0	0	2	10	2	0	10	15	NA	0	0	0	NA	NA	5	NA	0	0	0	4	10	NA	0	5	NA	0	0	0	0	NA	0
1	B	45.387048	-93.88178	2006	4217	7	0	100	0	100	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4218	9	0	100	0	100	NA	NA	NA	NA	0	15	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	15	NA	NA	10	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4219	12	1	56	0	56	NA	NA	NA	1	0	5	5	2	0	2	15	NA	0	0	0	NA	NA	10	NA	1	0	3	5	2	NA	0	5	NA	0	0	0	0	NA	0
1	B	45.387048	-93.88178	2006	4220	5	1	95	50	45	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4221	1	1	95	35	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
